Outlet_Identifier,Avg_Daily_Sales,Total_Profit,Outlet_Size,Location_Tier
OUT010,339.351661981982,7387.0,Medium,Tier 2
OUT013,2298.995255579399,12515.4,High,Tier 3
OUT017,2340.67526349892,12370.9,Medium,Tier 2
OUT018,1995.498739224138,12446.7,Medium,Tier 2
OUT019,340.3297227272727,7137.9,Small,Tier1
OUT027,3694.0385576470585,12633.9,Medium,Tier 2
OUT035,2438.841866021505,12481.5,Small,Tier1
OUT045,2192.384797631862,12479.3,Medium,Tier 2
OUT046,2277.8442668817206,12423.1,Small,Tier1
OUT049,2348.3546346236562,12456.2,Medium,Tier 2
