Date,City,Store_Format,Category,Total_Units,Avg_Selling_Price,Stock_On_Hand,Reorder_Level,Is_Holiday,Day_of_Week,Month,Is_Payday,Units_Lag_7d,Units_Lag_14d
2024-01-06,Ahmedabad,Super,Beverages,9,171.2708203917793,188.0,58,0,5,1,0,6.0,4.0
2024-01-07,Ahmedabad,Express,Beverages,3,202.54142065021756,481.5,47,0,6,1,0,5.0,7.0
2024-01-07,Ahmedabad,Hyper,Beverages,2,159.0046818489597,104.0,50,0,6,1,0,2.0,8.0
2024-01-08,Ahmedabad,Express,Beverages,4,176.86241559734222,252.0,44,0,0,1,0,6.0,8.0
2024-01-08,Ahmedabad,Hyper,Beverages,4,119.91168801539573,59.0,45,0,0,1,0,4.0,9.0
2024-01-08,Ahmedabad,Super,Beverages,4,201.22360242335637,298.0,54,0,0,1,0,9.0,7.0
2024-01-09,Ahmedabad,Express,Beverages,8,79.90321451935874,299.0,76,0,1,1,0,6.0,13.0
2024-01-09,Ahmedabad,Hyper,Beverages,7,199.59510720163712,216.5,71,0,1,1,0,9.0,6.0
2024-01-09,Ahmedabad,Super,Beverages,9,181.6594515549309,382.5,60,0,1,1,0,3.0,5.0
2024-01-10,Ahmedabad,Express,Beverages,6,81.80968713255047,218.5,73,0,2,1,0,2.0,2.0
2024-01-10,Ahmedabad,Hyper,Beverages,10,106.79684861438102,254.33333333333334,73,0,2,1,0,4.0,6.0
2024-01-11,Ahmedabad,Express,Beverages,10,103.59502041374107,234.0,75,0,3,1,0,4.0,4.0
2024-01-11,Ahmedabad,Hyper,Beverages,1,244.2150712441837,235.0,64,0,3,1,0,4.0,9.0
2024-01-12,Ahmedabad,Super,Beverages,2,79.67752991338477,264.0,42,0,4,1,0,8.0,6.0
2024-01-13,Ahmedabad,Express,Beverages,5,110.29399602392702,474.0,67,0,5,1,0,7.0,9.0
2024-01-13,Ahmedabad,Hyper,Beverages,11,90.94163408413675,250.33333333333334,69,0,5,1,0,9.0,3.0
2024-01-13,Ahmedabad,Super,Beverages,11,175.8248789811243,230.0,72,0,5,1,0,6.0,2.0
2024-01-14,Ahmedabad,Express,Beverages,6,74.33235620536058,229.0,29,0,6,1,0,10.0,4.0
2024-01-14,Ahmedabad,Hyper,Beverages,8,130.71543855581504,380.0,73,0,6,1,0,10.0,4.0
2024-01-15,Ahmedabad,Express,Beverages,8,25.489426528618807,286.0,68,0,0,1,0,1.0,4.0
2024-01-15,Ahmedabad,Hyper,Beverages,3,94.85176393650052,235.0,71,0,0,1,0,2.0,8.0
2024-01-15,Ahmedabad,Super,Beverages,3,16.69626073574068,375.0,78,0,0,1,0,5.0,7.0
2024-01-16,Ahmedabad,Express,Beverages,1,34.35798269991607,205.0,47,0,1,1,0,11.0,9.0
2024-01-16,Ahmedabad,Hyper,Beverages,4,85.11123757222572,456.0,63,0,1,1,0,11.0,6.0
2024-01-16,Ahmedabad,Super,Beverages,3,234.877068518163,92.0,75,0,1,1,0,6.0,10.0
2024-01-17,Ahmedabad,Hyper,Beverages,16,165.76280240576816,197.25,77,0,2,1,0,8.0,10.0
2024-01-17,Ahmedabad,Super,Beverages,2,28.21475860332677,392.0,50,0,2,1,0,8.0,1.0
2024-01-18,Ahmedabad,Hyper,Beverages,9,111.590457295107,383.0,39,0,3,1,0,3.0,2.0
2024-01-18,Ahmedabad,Super,Beverages,1,93.02788856898296,364.0,31,0,3,1,0,3.0,5.0
2024-01-19,Ahmedabad,Express,Beverages,5,103.20013564876304,285.3333333333333,71,0,4,1,0,1.0,11.0
2024-01-19,Ahmedabad,Super,Beverages,11,110.28720739682065,398.0,70,0,4,1,0,4.0,11.0
